5.000,5.003,1.019,102,8.08,0.63,1,
5.000,5.010,0.988,102,8.16,0.64,2,
5.000,5.007,1.005,102,8.16,0.64,3,
5.000,5.024,0.969,103,8.08,0.62,4,
5.000,5.009,0.966,102,8.80,0.74,5,
5.000,4.994,0.993,103,8.08,0.62,6,
5.000,4.992,1.004,101,8.32,0.68,7,
5.000,5.000,0.988,103,8.16,0.63,8,
5.000,4.983,1.026,102,8.48,0.69,9,
5.000,5.008,0.997,102,8.24,0.65,10,
4.950,4.963,0.973,103,8.48,0.68,11,
4.950,4.963,0.978,102,8.48,0.69,12,
4.950,4.935,0.967,103,8.80,0.73,13,
4.950,4.959,0.948,102,8.56,0.70,14,
4.950,4.929,0.987,101,8.88,0.77,15,
4.950,4.964,1.701,102,8.64,0.72,16,
4.950,4.927,0.958,101,8.48,0.70,17,
4.950,4.928,0.979,101,8.48,0.70,18,
4.950,4.944,0.962,101,8.56,0.72,19,
4.950,4.950,0.973,103,8.72,0.72,20,
4.900,4.902,0.885,102,8.48,0.69,21,
4.900,4.897,0.907,101,8.32,0.68,22,
4.900,4.897,1.608,101,8.72,0.75,23,
4.900,4.913,0.883,103,8.48,0.68,24,
4.900,4.895,0.876,102,8.72,0.73,25,
4.900,4.909,0.856,102,8.48,0.69,26,
4.900,4.919,0.884,102,8.72,0.73,27,
4.900,4.907,0.871,102,8.80,0.74,28,
4.900,4.897,0.867,103,8.80,0.73,29,
4.900,4.910,0.905,103,8.80,0.73,30,
4.850,4.874,0.838,102,9.36,0.84,31,
4.850,4.874,0.858,102,9.36,0.84,32,
4.850,4.854,0.821,102,9.28,0.83,33,
4.850,4.854,0.817,102,9.28,0.83,34,
4.850,4.854,0.856,101,9.04,0.80,35,
4.850,4.848,0.885,102,9.04,0.79,36,
4.850,4.858,0.843,102,8.96,0.77,37,
4.850,4.849,0.878,101,9.04,0.80,38,
4.850,4.849,0.824,103,9.44,0.84,39,
4.850,4.853,0.829,103,9.12,0.78,40,
4.800,4.796,0.804,103,9.44,0.84,41,
4.800,4.805,0.818,102,9.60,0.89,42,
4.800,4.815,0.797,102,9.60,0.89,43,
4.800,4.808,0.811,102,9.52,0.87,44,
4.800,4.797,0.758,102,9.76,0.92,45,
4.800,4.816,0.753,103,9.68,0.88,46,
4.800,4.795,0.800,101,9.68,0.92,47,
4.800,4.803,0.747,103,9.44,0.84,48,
4.800,4.814,0.800,102,9.68,0.90,49,
4.800,4.796,0.787,102,9.52,0.87,50,
4.750,4.744,0.757,102,10.2,1.00,51,
4.750,4.744,0.760,103,9.92,0.93,52,
4.750,4.751,0.731,102,10.4,1.04,53,
4.750,4.743,0.731,102,10.0,0.96,54,
4.750,4.749,0.710,103,10.4,1.02,55,
4.750,4.743,0.777,102,10.0,0.96,56,
4.750,4.747,0.763,102,9.76,0.92,57,
4.750,4.736,0.755,101,10.0,0.98,58,
4.750,4.767,0.726,102,10.0,0.96,59,
4.750,4.733,0.762,101,10.1,1.00,60,
4.700,4.678,0.689,101,10.9,1.16,61,
4.700,4.706,0.687,102,10.7,1.10,62,
4.700,4.705,0.728,102,10.8,1.12,63,
4.700,4.703,0.709,102,10.5,1.06,64,
4.700,4.701,0.717,102,10.8,1.12,65,
4.700,4.684,0.724,103,10.5,1.04,66,
4.700,4.721,0.703,103,10.6,1.06,67,
4.700,4.704,0.721,101,10.5,1.08,68,
4.700,4.700,0.695,102,10.6,1.08,69,
4.700,4.696,0.693,101,10.7,1.12,70,
4.650,4.642,0.655,102,11.2,1.21,71,
4.650,4.653,0.658,101,11.3,1.25,72,
4.650,4.648,0.649,103,11.4,1.22,73,
4.650,4.658,0.638,101,11.2,1.23,74,
4.650,4.656,0.655,101,11.5,1.30,75,
4.650,4.644,0.626,101,11.6,1.32,76,
4.650,4.643,0.657,102,11.4,1.25,77,
4.650,4.654,0.660,101,11.0,1.19,78,
4.650,4.673,0.651,102,11.4,1.25,79,
4.650,4.664,0.624,101,11.6,1.32,80,
4.600,4.605,0.617,102,12.1,1.41,81,
4.600,4.611,0.595,101,12.0,1.41,82,
4.600,4.590,0.613,103,12.0,1.36,83,
4.600,4.593,0.602,103,11.8,1.31,84,
4.600,4.593,0.588,102,12.0,1.38,85,
4.600,4.604,0.585,102,12.4,1.48,86,
4.600,4.601,0.593,101,12.4,1.51,87,
4.600,4.605,0.619,102,12.0,1.38,88,
4.600,4.599,0.617,101,12.2,1.46,89,
4.600,4.591,0.594,101,12.0,1.41,90,
4.550,4.554,0.536,101,13.2,1.71,91,
4.550,4.532,0.559,102,12.9,1.60,92,
4.550,4.554,0.534,102,13.1,1.65,93,
4.550,4.549,0.533,102,13.2,1.67,94,
4.550,4.549,0.558,102,13.2,1.67,95,
